trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.1, 'e': 0.39499999999999946}",25,8,-24.477959454009174,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.38999999999999946}",25,4,4.428942600052613,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.38499999999999945}",30,23,13.156492950272796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.37999999999999945}",30,18,10.434917613019223,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.37499999999999944}",30,0,22.34929770912548,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.1, 'e': 0.36999999999999944}",25,0,-153.1713919074841,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
127,False,"{'a': 0.1, 'e': 0.36499999999999944}",20,16,7.2132317944196505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.35999999999999943}",20,5,2.803182135672012,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.3549999999999994}",20,2,12.971747191311405,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.3499999999999994}",20,0,-16.97953101499047,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
131,False,"{'a': 0.1, 'e': 0.3449999999999994}",25,16,10.691458035181984,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.3399999999999994}",25,0,8.392385178270834,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
133,False,"{'a': 0.1, 'e': 0.3349999999999994}",25,5,7.657262696892472,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.3299999999999994}",20,8,-24.286479013446616,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.3249999999999994}",30,12,31.508309932210434,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.3199999999999994}",20,0,-9.450863125891173,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
137,False,"{'a': 0.1, 'e': 0.3149999999999994}",20,8,25.419018596238114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.3099999999999994}",25,12,2.0963695557393436,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.3049999999999994}",30,6,-38.34124035006814,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.1, 'e': 0.2999999999999994}",30,0,18.722613086077004,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.1, 'e': 0.2949999999999994}",20,4,14.934373052196332,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.28999999999999937}",25,0,-116.96709393828694,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
143,False,"{'a': 0.1, 'e': 0.28499999999999936}",20,3,17.209514222491684,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.27999999999999936}",20,4,13.761696762099502,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.27499999999999936}",20,11,8.268554008289287,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.26999999999999935}",20,13,12.159066776555361,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.26499999999999935}",20,5,-1.4602508282457518,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.25999999999999934}",30,6,17.616437232648774,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.25499999999999934}",30,4,-43.618726839563074,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
150,False,"{'a': 0.1, 'e': 0.24999999999999933}",25,13,-40.85674204465064,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.1, 'e': 0.24499999999999933}",20,1,-61.033595068577306,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
152,False,"{'a': 0.1, 'e': 0.23999999999999932}",30,15,7.84552010283832,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.23499999999999932}",25,0,9.929181058258921,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
154,False,"{'a': 0.1, 'e': 0.22999999999999932}",20,7,20.621327076456183,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1, 'e': 0.2249999999999993}",20,7,23.593799533401732,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.2199999999999993}",25,15,19.153661496669592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.2149999999999993}",20,0,-14.02164600890189,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.2099999999999993}",25,15,15.671190755733118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.2049999999999993}",20,0,-10.676969987325725,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.1999999999999993}",30,0,-29.592000855627592,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.19499999999999929}",25,0,-38.62808067985118,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.18999999999999928}",20,5,4.43161211683428,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.18499999999999928}",20,6,0.42984515613157503,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.17999999999999927}",20,14,13.325363947366254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.17499999999999927}",35,16,30.640184018189903,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.16999999999999926}",30,18,27.34187815967553,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.16499999999999926}",30,0,30.255141087287345,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.1, 'e': 0.15999999999999925}",25,11,-24.93601717021109,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.1, 'e': 0.15499999999999925}",25,5,-9.991373914868147,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.14999999999999925}",35,25,16.728362709136547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.14499999999999924}",30,18,-41.466264435331944,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.1, 'e': 0.13999999999999924}",20,6,21.65881641665388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.13499999999999923}",25,1,-10.668031766306225,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.1, 'e': 0.12999999999999923}",20,0,25.71003898669557,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.1, 'e': 0.12499999999999922}",25,8,23.998932060170787,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.11999999999999922}",20,10,17.99855608773526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.11499999999999921}",25,13,21.268709759189427,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.10999999999999921}",25,11,23.253100554546542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.1049999999999992}",20,16,6.6892151113937555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.0999999999999992}",30,24,11.821313505954457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.0949999999999992}",20,0,5.734131209457659,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.1, 'e': 0.08999999999999919}",25,16,20.03209146084628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.08499999999999919}",20,12,16.217696119500207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
